SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
INTC,20250717 04:01:07.000000,0,22.76,22.76,10159,10159,10159,10159,10159,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.69,22.69,22.84,22.84,22.69,22.84
INTC,20250717 04:02:02.000000,0,22.76,22.76,1679,11838,11838,11838,11838,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,22.76,22.69,22.79,22.84,22.69,22.84
INTC,20250717 04:03:02.000000,0,22.76,22.76,3573,15411,15411,15411,15411,0.02,0.13,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,-0.01,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,22.76,22.76,22.78,22.79,22.69,22.84
INTC,20250717 04:04:02.000000,0,22.76,22.76,14633,30044,30044,30044,30044,0.06,0.26,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72,22.72,22.77,22.78,22.69,22.84
INTC,20250717 04:05:08.000000,0,22.76,22.76,2780,32824,32824,32824,32824,0.06,0.26,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.76,22.72,22.78,22.78,22.69,22.84
INTC,20250717 04:06:04.000000,0,22.76,22.76,712,23377,33536,33536,33536,0.01,0.08,0.07,0.3,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0,0,-0.01,-0.08,0,0,0,0,0,0,0,0,0,0,22.76,22.76,22.77,22.78,22.72,22.79
INTC,20250717 04:07:01.000000,0,22.76,22.76,2612,24310,36148,36148,36148,0.01,0.08,0.06,0.26,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,22.76,22.76,22.78,22.78,22.72,22.78
INTC,20250717 04:08:01.000000,0,22.76,22.76,3238,23975,39386,39386,39386,0.03,0.13,0.06,0.26,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,-0.01,-0.08,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,22.75,22.75,22.77,22.78,22.72,22.78
INTC,20250717 04:09:01.000000,0,22.76,22.76,533,9875,39919,39919,39919,0.01,0.08,0.03,0.13,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,22.75,22.75,22.77,22.77,22.75,22.78
INTC,20250717 04:10:18.000000,0,22.76,22.76,133,7228,40052,40052,40052,0.01,0.08,0.03,0.13,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.76,22.75,22.77,22.77,22.75,22.78
INTC,20250717 04:11:01.000000,0,22.75,22.75,1016,7532,30909,41068,41068,0.01,0.08,0.03,0.13,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,-0.01,-0.04,-0.01,-0.08,-0.03,-0.13,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,22.75,22.75,22.76,22.77,22.75,22.78
INTC,20250717 04:12:13.000000,0,22.75,22.75,607,5527,29837,41675,41675,0.01,0.04,0.01,0.08,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0,0,0,0,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,22.75,22.75,22.76,22.76,22.75,22.77
INTC,20250717 04:13:28.000000,0,22.75,22.75,3475,5764,29739,45150,45150,0.03,0.13,0.03,0.13,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,22.74,22.74,22.77,22.77,22.74,22.77
INTC,20250717 04:14:08.000000,0,22.76,22.76,1322,6553,16428,46472,46472,0.05,0.21,0.05,0.21,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,22.76,22.74,22.79,22.79,22.74,22.79
INTC,20250717 04:15:23.000000,0,22.76,22.76,2376,8796,16024,48848,48848,0.02,0.13,0.05,0.21,0.14,0.65,0.14,0.65,0.14,0.65,0.14,0.65,0,0,0.03,0.13,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,22.78,22.76,22.78,22.79,22.74,22.79
INTC,20250717 04:16:02.000000,0,22.76,22.76,10,7790,15322,38699,48858,0,0,0.05,0.21,0.07,0.3,0.14,0.65,0.14,0.65,0.14,0.65,0,0,0.03,0.13,0.01,0.04,0,0,0.01,0.08,0.01,0.08,0.01,0.08,22.78,22.78,22.78,22.78,22.74,22.79
INTC,20250717 04:17:22.000000,0,22.76,22.76,3194,10377,15904,40214,52052,0.01,0.08,0.05,0.21,0.07,0.3,0.14,0.65,0.14,0.65,0.14,0.65,-0.01,-0.04,0,0.04,0.01,0.08,0,0.04,0,0.04,0,0.04,0,0.04,22.77,22.77,22.79,22.79,22.74,22.79
INTC,20250717 04:18:11.000000,0,22.76,22.76,32,6934,12698,36673,52084,0.01,0.08,0.02,0.13,0.07,0.3,0.14,0.65,0.14,0.65,0.14,0.65,0,0,-0.01,-0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,22.77,22.77,22.78,22.79,22.76,22.79
INTC,20250717 04:19:12.000000,0,22.76,22.76,1706,7318,13871,23746,53790,0.01,0.08,0.02,0.13,0.05,0.21,0.14,0.65,0.14,0.65,0.14,0.65,0,-0.04,-0.01,-0.08,0,0,0,0,0,0,0,0,0,0,22.76,22.76,22.77,22.78,22.76,22.79
INTC,20250717 04:20:43.000000,0,22.76,22.76,585,5527,14323,21551,54375,0.03,0.13,0.05,0.21,0.05,0.21,0.14,0.65,0.14,0.65,0.14,0.65,-0.02,-0.08,-0.04,-0.17,-0.01,-0.04,-0.02,-0.08,-0.02,-0.08,-0.02,-0.08,-0.02,-0.08,22.74,22.74,22.75,22.77,22.74,22.79
INTC,20250717 04:21:54.000000,0,22.75,22.76,3,5520,13310,20842,54378,0.01,0.04,0.05,0.21,0.05,0.21,0.14,0.65,0.14,0.65,0.14,0.65,0,0,-0.03,-0.13,-0.01,-0.04,-0.03,-0.13,-0.02,-0.08,-0.02,-0.08,-0.02,-0.08,22.74,22.74,22.75,22.75,22.74,22.79
INTC,20250717 04:22:05.000000,0,22.75,22.75,56,2382,12759,18286,54434,0.01,0.04,0.04,0.17,0.05,0.21,0.14,0.65,0.14,0.65,0.14,0.65,0.01,0.04,-0.01,-0.08,-0.01,-0.04,0,0,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,22.75,22.74,22.75,22.75,22.74,22.78
INTC,20250717 04:23:34.000000,0,22.75,22.75,3087,5437,12371,18135,57521,0.03,0.13,0.05,0.21,0.07,0.3,0.14,0.65,0.14,0.65,0.14,0.65,-0.01,-0.04,-0.02,-0.08,-0.04,-0.17,-0.02,-0.08,-0.02,-0.08,-0.02,-0.08,-0.02,-0.08,22.72,22.72,22.75,22.75,22.72,22.77
INTC,20250717 04:24:23.000000,0,22.75,22.75,16,3747,11065,17618,57537,0.03,0.13,0.03,0.13,0.07,0.3,0.14,0.65,0.14,0.65,0.14,0.65,0,0,0,0,-0.04,-0.17,-0.02,-0.08,-0.02,-0.08,-0.02,-0.08,-0.02,-0.08,22.73,22.72,22.74,22.75,22.72,22.75
INTC,20250717 04:25:04.000000,0,22.74,22.75,41,3203,8730,17526,57578,0,0.04,0.03,0.13,0.07,0.3,0.14,0.65,0.14,0.65,0.14,0.65,0,-0.04,0,-0.04,-0.05,-0.21,-0.01,-0.08,-0.03,-0.13,-0.03,-0.13,-0.03,-0.13,22.73,22.73,22.74,22.74,22.72,22.75
INTC,20250717 04:26:10.000000,0,22.74,22.75,303,3503,9023,16813,57881,0,0.04,0.03,0.13,0.07,0.3,0.14,0.65,0.14,0.65,0.14,0.65,0,0,-0.01,-0.08,-0.03,-0.17,-0.01,-0.08,-0.03,-0.13,-0.03,-0.13,-0.03,-0.13,22.73,22.73,22.74,22.74,22.72,22.75
INTC,20250717 04:27:09.000000,0,22.74,22.74,382,3829,6211,16588,58263,0,0.04,0.03,0.13,0.07,0.3,0.14,0.65,0.14,0.65,0.14,0.65,0,0,0,-0.04,-0.03,-0.17,-0.03,-0.13,-0.03,-0.13,-0.03,-0.13,-0.03,-0.13,22.73,22.73,22.74,22.74,22.72,22.75
INTC,20250717 04:28:10.000000,0,22.73,22.74,2155,2897,8334,15268,60418,0.01,0.08,0.01,0.08,0.07,0.3,0.14,0.65,0.14,0.65,0.14,0.65,0,0,0,-0.04,-0.03,-0.13,-0.05,-0.21,-0.03,-0.13,-0.03,-0.13,-0.03,-0.13,22.72,22.72,22.73,22.74,22.72,22.74
INTC,20250717 04:29:01.000000,0,22.73,22.74,2095,4976,8723,16041,62513,0.01,0.08,0.02,0.13,0.07,0.35,0.14,0.66,0.14,0.66,0.14,0.66,-0.01,-0.08,-0.01,-0.08,-0.02,-0.13,-0.07,-0.3,-0.05,-0.22,-0.05,-0.22,-0.05,-0.22,22.71,22.71,22.73,22.73,22.71,22.74
INTC,20250717 04:30:02.000000,0,22.72,22.73,5313,10248,13451,18978,67826,0.03,0.13,0.03,0.17,0.08,0.39,0.14,0.66,0.14,0.66,0.14,0.66,-0.01,-0.04,-0.03,-0.13,-0.03,-0.17,-0.08,-0.35,-0.06,-0.26,-0.06,-0.26,-0.06,-0.26,22.7,22.7,22.72,22.73,22.7,22.74
INTC,20250717 04:31:01.000000,0,22.73,22.74,1720,11665,15168,20688,59387,0.05,0.21,0.05,0.21,0.08,0.39,0.08,0.39,0.14,0.65,0.14,0.65,0.05,0.21,0.01,0.08,0,0,-0.01,-0.08,-0.03,-0.13,-0.01,-0.04,-0.01,-0.04,22.7,22.7,22.75,22.75,22.7,22.75
INTC,20250717 04:32:04.000000,0,22.73,22.74,4663,15946,19775,22157,62371,0.06,0.26,0.06,0.26,0.08,0.35,0.08,0.39,0.14,0.65,0.14,0.65,0,0,0.01,0.08,0.01,0.04,-0.01,-0.08,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,22.74,22.7,22.76,22.76,22.7,22.76
INTC,20250717 04:33:07.000000,0,22.73,22.74,228,14019,16916,22353,59026,0.02,0.08,0.06,0.26,0.07,0.3,0.08,0.39,0.14,0.65,0.14,0.65,0,0,0.03,0.17,0.01,0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,22.75,22.74,22.76,22.76,22.7,22.76
INTC,20250717 04:34:01.000000,0,22.74,22.74,294,12218,17194,20941,44687,0.01,0.04,0.06,0.26,0.06,0.26,0.08,0.39,0.14,0.65,0.14,0.65,0.01,0.04,0.06,0.26,0.03,0.13,0.02,0.08,0,0,0,0,0,0,22.76,22.75,22.76,22.76,22.7,22.76
INTC,20250717 04:35:35.000000,0,22.74,22.74,238,7143,17391,20594,42145,0.01,0.04,0.06,0.26,0.06,0.26,0.08,0.39,0.14,0.65,0.14,0.65,-0.01,-0.04,0,0,0.01,0.08,0.01,0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,22.75,22.75,22.76,22.76,22.7,22.76
INTC,20250717 04:36:03.000000,0,22.74,22.74,53,5476,17141,20644,41486,0.01,0.04,0.02,0.08,0.06,0.26,0.08,0.39,0.14,0.65,0.14,0.65,0,0,0,0,0.01,0.08,0,0,-0.01,-0.08,-0.01,-0.04,-0.01,-0.04,22.75,22.75,22.76,22.76,22.74,22.76
INTC,20250717 04:37:02.000000,0,22.74,22.74,71,884,16830,20659,38945,0.01,0.04,0.01,0.04,0.06,0.26,0.08,0.39,0.14,0.65,0.14,0.65,0.01,0.04,0.01,0.04,0.03,0.13,0.02,0.08,0.01,0.04,0,0,0,0,22.75,22.75,22.76,22.76,22.75,22.76
INTC,20250717 04:38:10.000000,0,22.74,22.74,934,1590,15609,18506,36641,0.02,0.08,0.02,0.08,0.06,0.26,0.08,0.39,0.14,0.65,0.14,0.65,-0.01,-0.04,-0.01,-0.04,0.03,0.17,0.01,0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,22.74,22.74,22.76,22.76,22.74,22.76
INTC,20250717 04:40:17.000000,0,22.74,22.74,95,1391,13609,18585,36203,0.02,0.08,0.02,0.08,0.06,0.26,0.08,0.39,0.14,0.65,0.14,0.65,0,0,0,0,0.05,0.21,0.01,0.08,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,22.75,22.74,22.75,22.76,22.74,22.76
INTC,20250717 04:41:06.000000,0,22.75,22.74,1391,2491,7967,19632,36445,0,0.04,0.03,0.13,0.07,0.3,0.08,0.39,0.14,0.65,0.14,0.65,0,0,0,0.04,0.01,0.08,0.03,0.17,0.01,0.08,0,0.04,0,0.04,22.76,22.76,22.77,22.77,22.74,22.77
INTC,20250717 04:42:57.000000,0,22.75,22.75,44,2464,3348,19294,35882,0,0.04,0.03,0.13,0.07,0.3,0.08,0.39,0.14,0.65,0.14,0.65,0,-0.04,0.01,0.04,0.01,0.04,0.03,0.13,0,0,0,0,0,0,22.76,22.76,22.77,22.77,22.74,22.77
INTC,20250717 04:43:14.000000,0,22.75,22.74,1151,2681,4271,18290,33558,0.03,0.13,0.03,0.13,0.07,0.3,0.08,0.39,0.14,0.65,0.14,0.65,-0.02,-0.08,-0.01,-0.04,-0.02,-0.08,0.02,0.13,-0.04,-0.17,-0.02,-0.08,-0.02,-0.08,22.74,22.74,22.76,22.77,22.74,22.77
INTC,20250717 04:44:04.000000,0,22.74,22.74,6305,8891,10282,22500,38541,0.04,0.17,0.05,0.21,0.07,0.3,0.08,0.39,0.14,0.65,0.14,0.65,0,-0.04,-0.03,-0.17,-0.01,-0.08,0.03,0.13,-0.05,-0.21,-0.03,-0.13,-0.03,-0.13,22.72,22.72,22.74,22.76,22.72,22.77
INTC,20250717 04:45:15.000000,0,22.74,22.74,3606,12497,13650,20793,39771,0.01,0.08,0.05,0.21,0.07,0.3,0.08,0.39,0.14,0.65,0.14,0.65,0,0,-0.03,-0.17,-0.01,-0.08,-0.01,-0.08,-0.05,-0.21,-0.03,-0.13,-0.03,-0.13,22.72,22.72,22.74,22.74,22.72,22.77
INTC,20250717 04:46:41.000000,0,22.74,22.74,387,11493,13984,19460,40148,0.01,0.08,0.05,0.21,0.05,0.21,0.08,0.39,0.14,0.65,0.14,0.65,0,0.04,-0.02,-0.08,-0.02,-0.08,-0.01,-0.04,-0.03,-0.13,-0.02,-0.08,-0.02,-0.08,22.73,22.72,22.74,22.74,22.72,22.77
INTC,20250717 04:47:06.000000,0,22.74,22.74,2141,13590,16054,16938,39095,0,0.04,0.04,0.17,0.05,0.21,0.08,0.35,0.14,0.65,0.14,0.65,0,-0.04,0,-0.04,-0.01,-0.08,-0.01,-0.08,-0.03,-0.17,-0.03,-0.13,-0.03,-0.13,22.73,22.73,22.74,22.74,22.72,22.76
INTC,20250717 04:49:06.000000,0,22.73,22.74,290,12729,15410,17000,39353,0,0.04,0.01,0.08,0.05,0.21,0.07,0.3,0.14,0.65,0.14,0.65,0,0,0,0,-0.01,-0.08,-0.03,-0.13,-0.03,-0.13,-0.03,-0.13,-0.03,-0.13,22.73,22.73,22.73,22.74,22.72,22.74
INTC,20250717 04:50:52.000000,0,22.73,22.74,140,2958,15455,16608,37202,0.01,0.04,0.01,0.08,0.05,0.21,0.07,0.3,0.14,0.65,0.14,0.65,0,0,0,-0.04,-0.03,-0.17,-0.01,-0.08,0,-0.04,-0.03,-0.13,-0.03,-0.13,22.72,22.72,22.73,22.73,22.72,22.74
INTC,20250717 04:51:19.000000,0,22.73,22.73,100,2671,14164,16655,37299,0.01,0.04,0.01,0.08,0.05,0.22,0.07,0.3,0.14,0.66,0.14,0.66,-0.01,-0.04,-0.01,-0.04,-0.04,-0.17,-0.04,-0.17,-0.03,-0.13,-0.04,-0.17,-0.04,-0.17,22.72,22.72,22.72,22.73,22.72,22.74
INTC,20250717 04:52:14.000000,0,22.73,22.73,2985,3515,17105,19569,40228,0.01,0.04,0.01,0.04,0.05,0.22,0.07,0.3,0.14,0.66,0.14,0.66,0,0,-0.01,-0.04,-0.01,-0.08,-0.03,-0.13,-0.01,-0.08,-0.04,-0.17,-0.04,-0.17,22.72,22.72,22.73,22.73,22.72,22.73
INTC,20250717 04:53:06.000000,0,22.73,22.73,2468,5693,18422,21103,39609,0.01,0.08,0.01,0.08,0.05,0.21,0.07,0.3,0.14,0.65,0.14,0.65,0.01,0.04,0,0,0,0,-0.01,-0.08,0,-0.04,-0.03,-0.13,-0.03,-0.13,22.72,22.72,22.74,22.74,22.72,22.74
INTC,20250717 04:54:37.000000,0,22.73,22.73,145,5838,12262,21153,39738,0.01,0.08,0.01,0.08,0.05,0.21,0.07,0.3,0.14,0.65,0.14,0.65,0,0,0,0,0,0,-0.03,-0.17,0,0,-0.03,-0.13,-0.03,-0.13,22.73,22.72,22.74,22.74,22.72,22.74
INTC,20250717 04:55:22.000000,0,22.73,22.73,160,5858,8816,21313,39857,0,0.04,0.01,0.08,0.05,0.21,0.07,0.3,0.14,0.65,0.14,0.65,0,0.04,0.01,0.08,0,0,-0.03,-0.13,0,0.04,-0.02,-0.08,-0.02,-0.08,22.73,22.73,22.74,22.74,22.72,22.74
INTC,20250717 04:56:03.000000,0,22.73,22.73,221,5979,8650,20143,39775,0,0.04,0.01,0.08,0.05,0.21,0.07,0.3,0.14,0.65,0.14,0.65,0,0,0.01,0.08,0,0.04,-0.02,-0.08,0,0.04,-0.02,-0.08,-0.02,-0.08,22.74,22.73,22.74,22.74,22.72,22.74
INTC,20250717 04:57:23.000000,0,22.73,22.73,276,3270,6785,20375,39669,0,0,0.01,0.08,0.04,0.17,0.07,0.3,0.14,0.65,0.14,0.65,0,0,0,0.04,0,0.04,0,0,0,0.04,-0.02,-0.08,-0.02,-0.08,22.74,22.74,22.74,22.74,22.72,22.74
INTC,20250717 04:58:25.000000,0,22.73,22.73,255,1057,6750,19479,37769,0,0,0,0.04,0.01,0.08,0.07,0.3,0.14,0.65,0.14,0.65,0,0,0,0.04,0,0.04,0,0.04,0.02,0.13,-0.02,-0.08,-0.02,-0.08,22.74,22.74,22.74,22.74,22.73,22.74
INTC,20250717 04:59:07.000000,0,22.73,22.73,2279,3191,9029,15453,37953,0.01,0.04,0.01,0.08,0.03,0.13,0.07,0.3,0.14,0.65,0.14,0.65,0,0,0,0,0,0.04,0,0.04,0.03,0.17,-0.02,-0.08,-0.02,-0.08,22.74,22.74,22.75,22.75,22.73,22.75
INTC,20250717 05:00:01.000000,0,22.73,22.73,419,3450,9308,12266,33059,0.01,0.08,0.01,0.08,0.03,0.13,0.07,0.3,0.14,0.65,0.14,0.65,0,-0.04,0,-0.04,0.01,0.04,0,-0.04,-0.01,-0.08,-0.03,-0.13,-0.03,-0.13,22.73,22.73,22.74,22.75,22.73,22.75
INTC,20250717 05:01:32.000000,0,22.73,22.73,859,4088,10067,12738,32198,0,0.04,0.01,0.08,0.03,0.13,0.05,0.21,0.08,0.39,0.14,0.65,0,0.04,0,0,0.01,0.08,0,0.04,-0.01,-0.04,-0.04,-0.17,-0.02,-0.08,22.73,22.73,22.74,22.74,22.73,22.75
INTC,20250717 05:02:21.000000,0,22.73,22.73,2484,6296,9566,13081,30019,0.01,0.08,0.03,0.13,0.03,0.13,0.05,0.22,0.08,0.39,0.14,0.66,-0.01,-0.08,-0.01,-0.08,-0.01,-0.04,-0.01,-0.04,-0.03,-0.13,-0.04,-0.17,-0.04,-0.17,22.72,22.72,22.73,22.74,22.72,22.75
INTC,20250717 05:03:04.000000,0,22.73,22.73,1,6042,7099,12792,29792,0.01,0.04,0.03,0.13,0.03,0.13,0.05,0.21,0.08,0.39,0.14,0.65,0.01,0.04,0,-0.04,0,0,0,0,-0.03,-0.13,-0.03,-0.13,-0.03,-0.13,22.73,22.72,22.73,22.73,22.72,22.75
INTC,20250717 05:04:17.000000,0,22.72,22.73,16023,19786,22977,28815,45521,0.02,0.13,0.02,0.13,0.03,0.17,0.05,0.26,0.08,0.39,0.14,0.66,-0.01,-0.04,-0.01,-0.04,-0.01,-0.08,-0.01,-0.04,-0.03,-0.13,-0.04,-0.17,-0.04,-0.17,22.71,22.71,22.74,22.74,22.71,22.74
INTC,20250717 05:05:11.000000,0,22.72,22.73,3269,22636,26086,31944,48552,0.02,0.13,0.02,0.13,0.03,0.17,0.05,0.26,0.08,0.39,0.14,0.65,0.01,0.04,0,-0.04,0,-0.04,0.01,0.04,-0.01,-0.08,-0.03,-0.13,-0.03,-0.13,22.71,22.71,22.73,22.74,22.71,22.74
INTC,20250717 05:06:31.000000,0,22.72,22.73,24,21801,25889,31868,48523,0.01,0.08,0.02,0.13,0.03,0.17,0.05,0.26,0.08,0.39,0.14,0.65,0,0,0.01,0.04,0,-0.04,0.01,0.04,-0.03,-0.13,-0.03,-0.17,-0.03,-0.13,22.72,22.71,22.73,22.73,22.71,22.74
INTC,20250717 05:07:20.000000,0,22.72,22.73,166,19483,25779,29049,48618,0.01,0.04,0.02,0.13,0.03,0.17,0.05,0.26,0.08,0.39,0.14,0.66,-0.01,-0.04,-0.01,-0.04,-0.01,-0.08,-0.01,-0.04,-0.03,-0.13,-0.03,-0.13,-0.04,-0.17,22.72,22.72,22.73,22.73,22.71,22.74
INTC,20250717 05:08:05.000000,0,22.72,22.73,1209,20691,26733,27790,48893,0.01,0.08,0.02,0.13,0.03,0.17,0.05,0.26,0.08,0.39,0.14,0.66,0,0,0,0,-0.01,-0.08,-0.01,-0.04,-0.03,-0.13,-0.04,-0.17,-0.04,-0.17,22.71,22.71,22.72,22.73,22.71,22.74
INTC,20250717 05:09:40.000000,0,22.72,22.72,2037,6705,26491,29682,50835,0,0.04,0.01,0.08,0.03,0.17,0.05,0.26,0.08,0.39,0.14,0.66,0,0,-0.01,-0.04,-0.01,-0.04,-0.01,-0.08,-0.05,-0.22,-0.04,-0.17,-0.04,-0.17,22.71,22.71,22.72,22.72,22.71,22.73
INTC,20250717 05:10:22.000000,0,22.72,22.72,1119,4555,27191,30641,51954,0.01,0.08,0.01,0.08,0.03,0.17,0.05,0.26,0.08,0.39,0.14,0.65,0.01,0.04,0,0,0,-0.04,0,-0.04,-0.03,-0.17,-0.01,-0.08,-0.03,-0.13,22.72,22.71,22.73,22.73,22.71,22.73
INTC,20250717 05:11:01.000000,0,22.72,22.73,1154,5685,27486,31574,51717,0.01,0.08,0.02,0.13,0.03,0.17,0.05,0.26,0.08,0.39,0.14,0.65,0,0.04,0.01,0.08,0.01,0.08,0,0,-0.02,-0.08,-0.01,-0.04,-0.02,-0.08,22.74,22.72,22.74,22.74,22.71,22.74
INTC,20250717 05:12:21.000000,0,22.73,22.73,620,6139,25622,31918,52293,0.01,0.04,0.03,0.17,0.03,0.17,0.05,0.21,0.08,0.39,0.14,0.65,0.01,0.04,0.03,0.13,0.01,0.08,0.01,0.04,0.01,0.04,-0.01,-0.04,-0.01,-0.04,22.74,22.74,22.75,22.75,22.71,22.75
INTC,20250717 05:13:13.000000,0,22.73,22.73,2681,7611,28302,34344,53823,0.01,0.04,0.03,0.17,0.03,0.17,0.03,0.17,0.08,0.39,0.14,0.65,0,0,0.03,0.13,0.03,0.13,0.01,0.04,0.01,0.08,-0.03,-0.13,-0.01,-0.04,22.75,22.74,22.75,22.75,22.71,22.75
INTC,20250717 05:14:12.000000,0,22.73,22.73,100,5674,12379,32165,47618,0,0,0.03,0.13,0.03,0.17,0.03,0.17,0.08,0.39,0.14,0.65,0,0,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,-0.03,-0.13,-0.01,-0.04,22.75,22.75,22.75,22.75,22.72,22.75
INTC,20250717 05:15:08.000000,0,22.74,22.73,56,4611,9166,31802,44068,0.01,0.04,0.02,0.08,0.05,0.21,0.05,0.21,0.08,0.39,0.14,0.65,0.01,0.04,0.02,0.08,0.03,0.13,0.02,0.08,0.02,0.08,-0.01,-0.08,0,0,22.75,22.75,22.76,22.76,22.74,22.76
INTC,20250717 05:16:52.000000,0,22.74,22.73,1073,4530,10215,32016,44754,0.02,0.08,0.02,0.08,0.05,0.21,0.05,0.21,0.08,0.39,0.14,0.65,-0.01,-0.04,0,0,0.03,0.13,0.03,0.13,0.01,0.08,-0.01,-0.08,-0.01,-0.04,22.74,22.74,22.76,22.76,22.74,22.76
INTC,20250717 05:17:10.000000,0,22.74,22.74,25,3935,10074,29557,42638,0.02,0.08,0.02,0.08,0.05,0.21,0.05,0.21,0.08,0.35,0.14,0.65,0,0,0,0,0.03,0.13,0.01,0.08,0.01,0.08,-0.01,-0.08,-0.01,-0.04,22.75,22.74,22.75,22.76,22.74,22.76
INTC,20250717 05:18:28.000000,0,22.74,22.74,2013,3267,10878,31569,44361,0.01,0.04,0.02,0.08,0.05,0.21,0.05,0.21,0.07,0.3,0.14,0.65,0.01,0.04,0.01,0.04,0.04,0.17,0.04,0.17,0.03,0.13,0,0,0,0,22.75,22.75,22.76,22.76,22.74,22.76
INTC,20250717 05:19:25.000000,0,22.75,22.74,1,3168,8842,15547,44362,0.01,0.04,0.02,0.08,0.05,0.21,0.05,0.21,0.07,0.3,0.14,0.65,0,0,0,0,0.03,0.13,0.03,0.13,0.03,0.13,0.02,0.08,0,0,22.76,22.75,22.76,22.76,22.74,22.76
INTC,20250717 05:20:28.000000,0,22.75,22.74,632,3744,8355,12910,44854,0.01,0.04,0.02,0.08,0.05,0.21,0.05,0.21,0.07,0.3,0.14,0.65,-0.01,-0.04,0,0,0.01,0.04,0.01,0.08,0.03,0.13,0.01,0.04,-0.01,-0.04,22.75,22.75,22.76,22.76,22.74,22.76
INTC,20250717 05:21:46.000000,0,22.75,22.74,735,3406,7936,13621,45489,0.02,0.08,0.02,0.08,0.05,0.21,0.05,0.21,0.07,0.3,0.14,0.65,0,0,0,0,0,0,0.03,0.13,0.03,0.13,0,0,-0.01,-0.04,22.74,22.74,22.75,22.76,22.74,22.76
INTC,20250717 05:22:15.000000,0,22.74,22.74,25,3406,7341,13480,42529,0.01,0.04,0.02,0.08,0.05,0.21,0.05,0.21,0.07,0.3,0.14,0.65,-0.01,-0.04,-0.02,-0.08,-0.01,-0.04,0.01,0.08,0,0.04,0,0,-0.02,-0.08,22.74,22.74,22.74,22.75,22.74,22.76
INTC,20250717 05:23:03.000000,0,22.74,22.74,529,1922,5189,12800,40590,0,0.04,0.03,0.13,0.05,0.21,0.05,0.21,0.07,0.3,0.14,0.65,0,-0.04,-0.03,-0.13,-0.01,-0.08,0.01,0.04,0,0,0,-0.04,-0.03,-0.13,22.73,22.73,22.74,22.74,22.73,22.76
